2,1,0,Peter H. Howard
2,0.583333333,1,Inge van den Bijgaart
7,3.25,0,Reyer Gerlagh
1,0.25,0,Luuk Korsten
4,1.583333333,0,Matti Liski
6,4,0,Derek Lemoine
1,0.5,0,Geoffrey M. Heal
2,1,0,Antony Millner
7,2.417857143,0,Francis Dennig
6,1.417857143,0,Mark B. Budolfson
4,0.667857143,0,Marc Fleurbaey
4,0.667857143,0,Asher Siebert
3,0.525,0,Robert H. Socolow
1,0.5,0,Kazushi Hatase
1,0.5,0,Shunsuke Managi
5,1.5,0,Mark C. Freeman
9,2.55952381,0,Ben Groom
3,0.75,1,Ekaterini Panopoulou
3,0.75,0,Theologos Pantelidis
1,0.166666667,0,Matthew Adler
2,0.291666667,1,Valentina Bosetti
1,0.166666667,0,Greg Garner
1,0.166666667,0,Klaus Keller
1,0.166666667,0,Nicolas Treich
2,0.458333333,0,Geoffrey J. Blanford
3,1.166666667,0,Kevin Dayaratna
3,1.166666667,0,Ross McKitrick
1,0.333333333,0,David Kreutzer
3,0.924242424,0,Johannes Emmerling
3,1.5,0,Lucas Bretschger
2,1,0,Christos Karydas
1,0.5,1,Aimilia Pattakou
1,0.5,1,Alexandra Brausmann
4,1.416666667,1,Zaili Zhen
4,1.416666667,0,Lixin Tian
2,0.666666667,0,Qian Ye
2,0.361111111,1,Pu Yang
1,0.111111111,0,Yun-Fei Yao
1,0.111111111,0,Zhifu Mi
1,0.111111111,0,Yun-Fei Cao
2,0.361111111,0,Hua Liao
1,0.111111111,1,Bi-Ying Yu
1,0.111111111,1,Qiao-Mei Liang
1,0.111111111,1,D Maris Coffman
1,0.111111111,0,Yi-Ming Wei
2,0.267857143,0,Dean Spears
3,0.517857143,0,Noah Scovronick
2,0.267857143,0,Fabian Wagner
1,0.25,1,Katharine Ricke
3,0.37539185,0,Laurent Drouet
1,0.25,0,Ken Caldeira
2,0.583333333,0,Massimo Tavoni
1,1,0,John Quiggin
1,1,0,Samuel J. Okullo
2,0.666666667,0,Salman Hafeez
6,1.616666667,0,Stephen R. Weller
6,1.616666667,0,Christopher M. Kellett
4,1.25,0,Martin C. Hansel
3,0.924242424,0,Martin F. Quaas
1,1,0,Matthew J. Kotchen
1,0.333333333,0,Patrick J. Michaels
1,0.25,0,Uris Baldos
1,0.25,0,Thomas W. Hertel
1,0.5,0,Michael Brody
1,0.333333333,0,Kent D. Daniel
1,0.333333333,0,Robert B. Litterman
2,0.583333333,0,Gernot Wagner
1,0.2,0,Thomas F. Coleman
1,0.2,1,Nicole S. Dumont
1,0.2,1,Wanqi Li
1,0.2,0,Wenbin Liu
1,0.2,0,Alexey Rubtsov
1,1,0,Tommi Ekholm
4,0.95,0,Timm Faulwasser
1,0.166666667,0,Philipp Braun
2,0.366666667,0,Lars Grune
2,0.366666667,0,Willi Semmler
1,0.25,0,Robin Nydestedt
3,1.166666667,1,Celine Guivarch
3,1,0,Christoph Hambel
3,1,0,Holger Kraft
2,0.666666667,0,Eduardo Schwartz
1,0.5,0,Derek Sylvan
1,0.25,1,Maddalena Ferrana
1,0.333333333,0,Milad E. Naeini
1,0.333333333,0,Benjamin D. Leibowicz
1,0.333333333,0,J. Eric Bickel
1,1,1,Sandra Gschnaller
3,0.75,0,Moritz A. Drupp
3,0.5,0,Daniel J.A. Johansson
2,0.25,0,Frikk Nesje
1,0.5,0,Bernardo A. Bastien-Olvera
2,0.642857143,0,Matthias Kalkuhl
1,0.5,1,Leonie Wenz
2,0.833333333,1,Veronica Lupi
1,0.5,0,Simone Marsiglio
2,0.666666667,0,Nicolas Taconet
1,0.2,0,Laurence Kotlikoff
1,0.2,0,Felix Kubler
1,0.2,0,Andrey Polbin
1,0.2,0,Jeffrey Sachs
1,0.2,0,Simon Scheidegger
2,1,0,Niko Jaakkola
2,2,0,Robert S. Pindyck
1,0.142857143,0,Jarmo S. Kikstra
1,0.142857143,0,Paul Waidelich
2,0.392857143,0,James Rising
1,0.142857143,0,Dmitry Yumashev
1,0.142857143,0,Chris M. Brierley
2,0.392857143,0,Thomas Stoerk
5,1.55952381,0,Frank Venmans
1,0.142857143,0,Andrew Balmford
1,0.142857143,0,Srinivasan Keshav
1,0.142857143,0,David Coomes
1,0.142857143,0,Anil Madhavapeddy
1,0.142857143,0,Tom Swinfield
1,0.5,0,Ton S. van den Bremer
1,0.333333333,0,Aobo Liu
1,0.333333333,1,Yating Chen
1,0.333333333,0,Xiao Cheng
4,1.174242424,0,Brian C. Prest
1,0.25,1,Alyssa R. Russell
1,0.25,0,G. Cornelis van Kooten
1,0.25,0,Jonathan G. Izett
1,0.25,0,Mark E. Eiswerth
1,0.5,0,Felix Koninx
3,0.634387352,0,Kevin Rennert
3,0.634387352,1,Cora Kingdon
3,0.384387352,1,Lisa Rennels
2,0.134387352,0,Roger Cooke
2,0.134387352,0,Adrian E. Raftery
2,0.134387352,1,Hana Sevcikova
3,0.384387352,0,Frank Errickson
1,0.043478261,0,Jordan Wingenroth
1,0.043478261,0,Bryan Parthum
1,0.043478261,0,David Smith
1,0.043478261,0,Kevin Cromar
1,0.043478261,0,Ulrich K. Muller
1,0.043478261,0,Richard J. Plevin
1,0.043478261,1,Hannah Sheets
2,0.543478261,0,James H. Stock
1,0.043478261,1,Tammy Tan
1,0.043478261,0,Mark Watson
1,0.043478261,0,Tony E. Wong
1,0.333333333,0,Nikolay Khabarov
1,0.333333333,0,Alexey Smirnov
1,0.333333333,0,Michael Obersteiner
2,1,1,Karolina Safarzynska
1,0.25,0,Tianpeng Wang
1,0.25,0,Fei Teng
1,0.25,1,Xu Deng
1,0.25,0,Jun Xie
3,0.358766234,1,Franziska Piontek
4,0.552339901,0,Elmar Kriegler
1,0.25,0,Matthias G.W. Schmidt
1,0.25,0,Hermann Held
1,0.25,0,Alexander Lorenz
2,0.267857143,0,Anselm Schultes
3,0.733766234,0,Marian Leimbach
2,0.267857143,0,Ottmar Edenhofer
1,0.142857143,0,Nico Bauer
1,0.125,0,Bjoern Soergel
2,0.159482759,0,Joeri Rogelj
1,0.125,1,Lavinia Baumstark
2,0.159482759,0,Gunnar Luderer
1,0.5,0,Kevin R. Kaushal
2,0.6,0,Stale Navrud
1,0.1,0,Luke Brander
1,0.1,0,El Hadji Fall
1,0.1,0,Rainer Friedrich
1,0.1,0,Stefan Hirschberg
1,0.1,0,Onno Kuik
1,0.1,1,Kristin Magnussen
1,0.1,0,Philipp Preiss
1,0.1,0,Ari Rabl
1,0.1,0,Bob van der Zwaan
1,0.25,0,Min Fu
1,0.25,0,Yixiang Zhang
1,0.333333333,1,Desy Caesary
1,0.333333333,1,Hana Kim
1,0.333333333,0,Myung Jin Nam
1,0.25,0,Christopher J. Smith
1,0.25,0,Alaa Al Khourdajie
1,0.25,1,Doris Folini
1,0.333333333,0,Roweno Heijmans
1,0.333333333,0,Kozo Torasan Mayumi
2,0.583333333,0,Marzio Galeotti
1,0.25,0,Roberto Roson
1,0.25,0,Emanuele Borgonovo
1,0.25,0,Barry Anderson
1,0.5,0,Wolfram Krewitt
1,0.5,1,Barbara Schlomann
4,4,,UBA
1,0.5,0,Johannes Koch
1,1,0,Dominique van der Mensbrugghe
2,0.424242424,0,Wilfried Rickels
2,0.424242424,0,Felix Meier
1,0.090909091,1,Sonja Peterson
1,0.090909091,1,Sina Ruhland
1,0.090909091,1,Sneha Thube
1,0.090909091,0,Johannes Karstensen
1,0.090909091,1,Conny Posern
1,0.090909091,1,Claudia Wolff
1,0.090909091,0,Athanasios T. Vafeidis
1,0.090909091,1,Patricia Grasse
1,0.333333333,0,Jonas Nycander
1,0.25,1,Masako Ikefuji
1,0.25,0,Roger J. Laeven
1,0.25,0,Jan R. Magnus
1,0.25,0,Chris Muris
1,0.5,1,Domenica Czyz
3,0.674242424,0,Kaj-Ivar van der Wijst
3,0.674242424,0,Andries F. Hof
4,0.708725183,0,Detlef P. van Vuuren
1,0.25,0,Shridhar Kulkarni
3,1.833333333,0,Terrence Iverson
1,0.333333333,0,Scott Denning
1,0.333333333,0,Sammy Zahran
1,0.5,0,Larry Karp
1,0.25,0,Jorge Garcia Martin
1,0.333333333,0,Romain Fillon
1,0.2,0,Franck Nadaud
1,0.333333333,0,Richard Price
1,0.333333333,0,Simeon Thornton
1,0.333333333,0,Stephen Nelson
1,0.125,0,Kenneth Gillingham
1,0.125,0,Peter Christensen
1,0.125,0,Haewon McJeon
1,0.5,0,Michael D. Mastandrea
2,0.5,1,Phoebe Koundouri
1,0.333333333,0,Loic Berger
1,0.5,0,Michael D. Bauer
1,0.5,0,Glenn D. Rudebusch
1,1,0,David von Below
1,1,0,Ivan Rudik
2,0.666666667,0,Nick Hanley
1,0.5,0,Dugald Tinch
1,1,0,R. Daniel Bressler
1,1,0,Woo-Sik Sohn
1,0.2,0,Alexander Otto
1,0.2,0,Benjamin J. Todd
1,0.2,0,Niel Bowerman
1,0.2,0,David J. Frame
2,1.2,0,Myles R. Allan
2,1,0,Elmar Hillebrand
2,1,0,Marten Hillebrand
2,1,0,Jonghyun Yoo
1,0.5,0,Mikel Gonzalez-Equino
1,0.5,0,Mark B. Neumann
2,0.236111111,0,Xuanming Su
2,0.236111111,0,Kiyoshi Takahashi
3,0.27059387,0,Shinichiro Fujimori
1,0.111111111,1,Tomoko Hasegawa
2,0.236111111,0,Katsumasa Tanaka
1,0.111111111,0,Etsushi Kato
1,0.111111111,0,Hideo Shiogama
1,0.111111111,0,Toshihiko Masui
1,0.111111111,0,Seita Emori
1,0.125,0,Tokuta Yokohata
1,0.125,0,Jun’ya Takakura
1,0.125,0,Weiwei Xiong
1,0.125,0,Rintaro Yamaguchi
1,0.5,1,Elettra Agliardi
4,2,0,Anastasios Xepapadeas
1,0.333333333,0,Jinchi Dong
2,0.583333333,0,Fangzhi Wang
1,1,1,Louise Kessler
2,1,0,Aapo Rautiainen
2,1,0,Jussi Lintunen
2,2,1,Disa Asplund
1,0.5,0,John C.V. Pezzey
1,0.5,0,Paul J. Burke
3,1.333333333,0,William Brock
1,0.333333333,0,Michael Barnett
1,0.333333333,0,Lars Peter Hansen
1,0.5,0,Lawrence H. Goulder
1,0.5,0,Koshy Mathai
1,0.5,,NYSERDA
1,0.5,,RFF
1,0.5,0,Thomas Dangl
1,0.5,0,Franz Wirl
1,0.333333333,0,Xin Li
1,0.333333333,0,Borghan Narajabad
1,0.333333333,0,Ted Temzelides
4,0.685714286,1,Elena A. Mikhailova
2,0.285714286,0,Hamdi A. Zurqani
2,0.285714286,1,Lili Lin
2,0.285714286,0,Zhenbang Hao
4,0.685714286,0,Christopher J. Post
4,0.685714286,0,Mark A. Schlautman
2,0.342857143,0,Gregory C. Post
2,0.4,0,Garth R. Groshans
1,0.2,1,Lisha Zhang
1,0.142857143,1,Camryn E. Brown
1,0.5,0,Stefan Gossling
1,0.5,0,Andreas Humpe
1,0.333333333,0,Syed M. Hasan
1,0.333333333,0,Abdur R. Shahid
1,0.333333333,0,Ahmed Imteaj
1,1,0,Cristian Mardones
1,0.166666667,1,Tao Zhang
1,0.166666667,0,Guozhi Peng
1,0.166666667,0,Yanwei Zhang
